"Cell"	"Batch"	"Group"	"ExpLibSize"
"Cell400"	"Cell400"	"Batch2"	"Group2"	54727.1516409818
"Cell401"	"Cell401"	"Batch2"	"Group2"	70304.1803044277
"Cell402"	"Cell402"	"Batch2"	"Group2"	53386.0433234665
"Cell403"	"Cell403"	"Batch2"	"Group2"	40715.9410374973
"Cell404"	"Cell404"	"Batch2"	"Group2"	68382.9064559613
"Cell405"	"Cell405"	"Batch2"	"Group1"	43455.4674205543
"Cell406"	"Cell406"	"Batch2"	"Group2"	45664.6588555696
"Cell407"	"Cell407"	"Batch2"	"Group1"	32741.9845360269
"Cell408"	"Cell408"	"Batch2"	"Group2"	70703.3026552244
"Cell409"	"Cell409"	"Batch2"	"Group2"	62957.7671429332
"Cell410"	"Cell410"	"Batch2"	"Group2"	65674.0200466336
"Cell411"	"Cell411"	"Batch2"	"Group2"	70895.2308680285
"Cell412"	"Cell412"	"Batch2"	"Group2"	59373.6435222957
"Cell413"	"Cell413"	"Batch2"	"Group2"	47996.5695131501
"Cell414"	"Cell414"	"Batch2"	"Group1"	67020.5877126769
"Cell415"	"Cell415"	"Batch2"	"Group2"	77704.8497819444
"Cell416"	"Cell416"	"Batch2"	"Group2"	44353.895196638
"Cell417"	"Cell417"	"Batch2"	"Group2"	53029.4210664314
"Cell418"	"Cell418"	"Batch2"	"Group1"	56474.8670316033
"Cell419"	"Cell419"	"Batch2"	"Group2"	46261.4061195058
"Cell420"	"Cell420"	"Batch2"	"Group2"	68790.5162870448
"Cell421"	"Cell421"	"Batch2"	"Group2"	53112.2894092227
"Cell422"	"Cell422"	"Batch2"	"Group2"	76986.1895914426
"Cell423"	"Cell423"	"Batch2"	"Group1"	60518.3317784914
"Cell424"	"Cell424"	"Batch2"	"Group1"	69259.7011837739
"Cell425"	"Cell425"	"Batch2"	"Group2"	81815.3054797094
"Cell426"	"Cell426"	"Batch2"	"Group2"	63140.9590159578
"Cell427"	"Cell427"	"Batch2"	"Group2"	74261.3013518395
"Cell428"	"Cell428"	"Batch2"	"Group2"	62451.1285305405
"Cell429"	"Cell429"	"Batch2"	"Group2"	44252.4180807423
"Cell430"	"Cell430"	"Batch2"	"Group2"	60143.0068009364
"Cell431"	"Cell431"	"Batch2"	"Group2"	69121.9241707132
"Cell432"	"Cell432"	"Batch2"	"Group2"	66031.7788972426
"Cell433"	"Cell433"	"Batch2"	"Group2"	57827.650974146
"Cell434"	"Cell434"	"Batch2"	"Group2"	46932.2383082918
"Cell435"	"Cell435"	"Batch2"	"Group1"	68137.2732639443
"Cell436"	"Cell436"	"Batch2"	"Group2"	49846.7607994253
"Cell437"	"Cell437"	"Batch2"	"Group2"	46613.026119553
"Cell438"	"Cell438"	"Batch2"	"Group2"	67439.4571779863
"Cell439"	"Cell439"	"Batch2"	"Group2"	46790.6121623364
"Cell440"	"Cell440"	"Batch2"	"Group2"	62873.0493698001
"Cell441"	"Cell441"	"Batch2"	"Group2"	59907.3473631929
"Cell442"	"Cell442"	"Batch2"	"Group1"	45906.3193386243
"Cell443"	"Cell443"	"Batch2"	"Group2"	75806.4971522297
"Cell444"	"Cell444"	"Batch2"	"Group1"	53180.0710151944
"Cell445"	"Cell445"	"Batch2"	"Group2"	76114.6216921867
"Cell446"	"Cell446"	"Batch2"	"Group2"	54447.5571945594
"Cell447"	"Cell447"	"Batch2"	"Group2"	53369.1733820529
"Cell448"	"Cell448"	"Batch2"	"Group1"	59501.3806269202
"Cell449"	"Cell449"	"Batch2"	"Group2"	55736.3937257536
"Cell450"	"Cell450"	"Batch2"	"Group2"	55752.6256163323
"Cell451"	"Cell451"	"Batch2"	"Group2"	50234.9924354555
"Cell452"	"Cell452"	"Batch2"	"Group2"	46977.3370964574
"Cell453"	"Cell453"	"Batch2"	"Group2"	67687.5351971071
"Cell454"	"Cell454"	"Batch2"	"Group2"	50958.1166276795
"Cell455"	"Cell455"	"Batch2"	"Group2"	45465.4790153168
"Cell456"	"Cell456"	"Batch2"	"Group2"	54091.3963676991
"Cell457"	"Cell457"	"Batch2"	"Group2"	51011.8329107606
"Cell458"	"Cell458"	"Batch2"	"Group2"	38616.8065238811
"Cell459"	"Cell459"	"Batch2"	"Group1"	56489.6418447715
"Cell460"	"Cell460"	"Batch2"	"Group1"	61909.8655142185
"Cell461"	"Cell461"	"Batch2"	"Group2"	63509.0993393288
"Cell462"	"Cell462"	"Batch2"	"Group2"	64766.7901370978
"Cell463"	"Cell463"	"Batch2"	"Group1"	49012.5299368074
"Cell464"	"Cell464"	"Batch2"	"Group2"	56097.9515192267
"Cell465"	"Cell465"	"Batch2"	"Group2"	48939.01640973
"Cell466"	"Cell466"	"Batch2"	"Group2"	52728.622239454
"Cell467"	"Cell467"	"Batch2"	"Group2"	47006.0625313553
"Cell468"	"Cell468"	"Batch2"	"Group2"	47892.1669054782
"Cell469"	"Cell469"	"Batch2"	"Group2"	67912.557158947
"Cell470"	"Cell470"	"Batch2"	"Group1"	56698.0833596811
"Cell471"	"Cell471"	"Batch2"	"Group2"	56853.4262904718
"Cell472"	"Cell472"	"Batch2"	"Group2"	84618.7909330506
"Cell473"	"Cell473"	"Batch2"	"Group1"	59178.9727011852
"Cell474"	"Cell474"	"Batch2"	"Group1"	53776.2523774546
"Cell475"	"Cell475"	"Batch2"	"Group2"	69526.0887791318
"Cell476"	"Cell476"	"Batch2"	"Group2"	54314.6046998125
"Cell477"	"Cell477"	"Batch2"	"Group2"	78793.166795745
"Cell478"	"Cell478"	"Batch2"	"Group1"	55518.1641333065
"Cell479"	"Cell479"	"Batch2"	"Group2"	52932.3243303576
"Cell480"	"Cell480"	"Batch2"	"Group1"	47399.8806517801
