"Cell"	"Batch"	"Group"	"ExpLibSize"
"Cell400"	"Cell400"	"Batch1"	"Group2"	61095.1594678477
"Cell401"	"Cell401"	"Batch1"	"Group2"	49282.344352815
"Cell402"	"Cell402"	"Batch1"	"Group2"	50819.475950684
"Cell403"	"Cell403"	"Batch1"	"Group2"	78635.9138918647
"Cell404"	"Cell404"	"Batch1"	"Group2"	72567.626552352
"Cell405"	"Cell405"	"Batch1"	"Group1"	50174.1435930754
"Cell406"	"Cell406"	"Batch1"	"Group2"	50010.1656583887
"Cell407"	"Cell407"	"Batch1"	"Group1"	84513.5052957252
"Cell408"	"Cell408"	"Batch1"	"Group2"	87711.5117370101
"Cell409"	"Cell409"	"Batch1"	"Group2"	51255.169531905
"Cell410"	"Cell410"	"Batch1"	"Group2"	46144.771849426
"Cell411"	"Cell411"	"Batch1"	"Group2"	101184.314965498
"Cell412"	"Cell412"	"Batch1"	"Group2"	62688.0289697046
"Cell413"	"Cell413"	"Batch1"	"Group2"	62152.7272944121
"Cell414"	"Cell414"	"Batch1"	"Group1"	60792.8417707932
"Cell415"	"Cell415"	"Batch1"	"Group2"	79298.305348665
"Cell416"	"Cell416"	"Batch1"	"Group2"	57621.7599891115
"Cell417"	"Cell417"	"Batch1"	"Group2"	80167.8974726535
"Cell418"	"Cell418"	"Batch1"	"Group1"	57289.2863068496
"Cell419"	"Cell419"	"Batch1"	"Group2"	66239.2970777986
"Cell420"	"Cell420"	"Batch1"	"Group2"	48693.4887444287
"Cell421"	"Cell421"	"Batch1"	"Group2"	61950.7314624989
"Cell422"	"Cell422"	"Batch1"	"Group2"	76125.1238681267
"Cell423"	"Cell423"	"Batch1"	"Group1"	57949.0130201704
"Cell424"	"Cell424"	"Batch1"	"Group1"	77380.8933085087
"Cell425"	"Cell425"	"Batch1"	"Group2"	103304.816213889
"Cell426"	"Cell426"	"Batch1"	"Group2"	72285.934341972
"Cell427"	"Cell427"	"Batch1"	"Group2"	56969.8347912074
"Cell428"	"Cell428"	"Batch1"	"Group2"	61040.6779129642
"Cell429"	"Cell429"	"Batch1"	"Group2"	54896.9906973668
"Cell430"	"Cell430"	"Batch1"	"Group2"	92571.2200277874
"Cell431"	"Cell431"	"Batch1"	"Group2"	33131.6426552773
"Cell432"	"Cell432"	"Batch1"	"Group2"	60850.6419358456
"Cell433"	"Cell433"	"Batch1"	"Group2"	61207.6561351415
"Cell434"	"Cell434"	"Batch1"	"Group2"	62485.4910304696
"Cell435"	"Cell435"	"Batch1"	"Group1"	43845.8817870651
"Cell436"	"Cell436"	"Batch1"	"Group2"	62520.0328052616
"Cell437"	"Cell437"	"Batch1"	"Group2"	62164.0889175709
"Cell438"	"Cell438"	"Batch1"	"Group2"	77012.6077960038
"Cell439"	"Cell439"	"Batch1"	"Group2"	66483.1330536803
"Cell440"	"Cell440"	"Batch1"	"Group2"	74838.7333517991
"Cell441"	"Cell441"	"Batch1"	"Group2"	49439.2316804035
"Cell442"	"Cell442"	"Batch1"	"Group1"	58402.7866348975
"Cell443"	"Cell443"	"Batch1"	"Group2"	62214.7610077744
"Cell444"	"Cell444"	"Batch1"	"Group1"	63224.2652401482
"Cell445"	"Cell445"	"Batch1"	"Group2"	52116.5120392201
"Cell446"	"Cell446"	"Batch1"	"Group2"	80485.6658978245
"Cell447"	"Cell447"	"Batch1"	"Group2"	52978.772618366
"Cell448"	"Cell448"	"Batch1"	"Group1"	43353.2957188313
"Cell449"	"Cell449"	"Batch1"	"Group2"	64893.1936076797
"Cell450"	"Cell450"	"Batch1"	"Group2"	68385.1578424896
"Cell451"	"Cell451"	"Batch1"	"Group2"	72317.7884255096
"Cell452"	"Cell452"	"Batch1"	"Group2"	49550.5104023241
"Cell453"	"Cell453"	"Batch1"	"Group2"	56973.544651372
"Cell454"	"Cell454"	"Batch1"	"Group2"	45904.237235746
"Cell455"	"Cell455"	"Batch1"	"Group2"	70894.8270340019
"Cell456"	"Cell456"	"Batch1"	"Group2"	64185.9325486307
"Cell457"	"Cell457"	"Batch1"	"Group2"	71879.940798846
"Cell458"	"Cell458"	"Batch1"	"Group2"	67619.7183236789
"Cell459"	"Cell459"	"Batch1"	"Group1"	53023.4953312538
"Cell460"	"Cell460"	"Batch1"	"Group1"	62064.6345762782
"Cell461"	"Cell461"	"Batch1"	"Group2"	40876.8070385486
"Cell462"	"Cell462"	"Batch1"	"Group2"	66210.1631164101
"Cell463"	"Cell463"	"Batch1"	"Group1"	72676.9699020944
"Cell464"	"Cell464"	"Batch1"	"Group2"	50254.3593225121
"Cell465"	"Cell465"	"Batch1"	"Group2"	39057.6911468706
"Cell466"	"Cell466"	"Batch1"	"Group2"	44153.8093226142
"Cell467"	"Cell467"	"Batch1"	"Group2"	47924.223166437
"Cell468"	"Cell468"	"Batch1"	"Group2"	76741.4132036128
"Cell469"	"Cell469"	"Batch1"	"Group2"	59915.8518113777
"Cell470"	"Cell470"	"Batch1"	"Group1"	46743.9952586214
"Cell471"	"Cell471"	"Batch1"	"Group2"	66912.4162977318
"Cell472"	"Cell472"	"Batch1"	"Group2"	38691.3031952979
"Cell473"	"Cell473"	"Batch1"	"Group1"	56987.9492945751
"Cell474"	"Cell474"	"Batch1"	"Group1"	74799.8669724114
"Cell475"	"Cell475"	"Batch1"	"Group2"	55919.3276046548
"Cell476"	"Cell476"	"Batch1"	"Group2"	77737.0820078355
"Cell477"	"Cell477"	"Batch1"	"Group2"	85739.1455310948
"Cell478"	"Cell478"	"Batch1"	"Group1"	47402.628252233
"Cell479"	"Cell479"	"Batch1"	"Group2"	47550.2571049745
"Cell480"	"Cell480"	"Batch1"	"Group1"	49866.7090671378
"Cell481"	"Cell481"	"Batch1"	"Group2"	66552.4479326053
"Cell482"	"Cell482"	"Batch1"	"Group2"	70757.6392831234
"Cell483"	"Cell483"	"Batch1"	"Group1"	76254.1710156614
"Cell484"	"Cell484"	"Batch1"	"Group2"	77644.3845935165
"Cell485"	"Cell485"	"Batch1"	"Group1"	74246.5403407481
"Cell486"	"Cell486"	"Batch1"	"Group2"	72255.2454485152
"Cell487"	"Cell487"	"Batch1"	"Group1"	61862.8389716234
"Cell488"	"Cell488"	"Batch1"	"Group2"	50129.8685600328
"Cell489"	"Cell489"	"Batch1"	"Group2"	51780.4427283077
"Cell490"	"Cell490"	"Batch1"	"Group2"	64959.5080134788
"Cell491"	"Cell491"	"Batch1"	"Group1"	83843.5019270281
"Cell492"	"Cell492"	"Batch1"	"Group2"	84220.6959124828
"Cell493"	"Cell493"	"Batch1"	"Group1"	40731.8923268611
"Cell494"	"Cell494"	"Batch1"	"Group2"	50675.6296729204
"Cell495"	"Cell495"	"Batch1"	"Group2"	79524.9830332869
"Cell496"	"Cell496"	"Batch1"	"Group2"	48396.2716153164
"Cell497"	"Cell497"	"Batch1"	"Group1"	43359.6474582002
"Cell498"	"Cell498"	"Batch1"	"Group2"	67505.3557217844
"Cell499"	"Cell499"	"Batch1"	"Group2"	84676.4617902877
"Cell500"	"Cell500"	"Batch1"	"Group2"	88159.3201219412
"Cell501"	"Cell501"	"Batch2"	"Group2"	66606.943985117
"Cell502"	"Cell502"	"Batch2"	"Group2"	69143.0724928043
"Cell503"	"Cell503"	"Batch2"	"Group2"	66971.2483489724
"Cell504"	"Cell504"	"Batch2"	"Group1"	59657.9450824426
"Cell505"	"Cell505"	"Batch2"	"Group2"	30505.1921791752
"Cell506"	"Cell506"	"Batch2"	"Group1"	69712.8993320606
"Cell507"	"Cell507"	"Batch2"	"Group2"	55367.8638518976
"Cell508"	"Cell508"	"Batch2"	"Group2"	73275.4014882545
"Cell509"	"Cell509"	"Batch2"	"Group1"	52817.8969995226
"Cell510"	"Cell510"	"Batch2"	"Group2"	43177.9197254033
"Cell511"	"Cell511"	"Batch2"	"Group2"	76806.8056470856
"Cell512"	"Cell512"	"Batch2"	"Group1"	62085.9807309737
"Cell513"	"Cell513"	"Batch2"	"Group2"	120458.533552907
"Cell514"	"Cell514"	"Batch2"	"Group2"	71906.2439920609
"Cell515"	"Cell515"	"Batch2"	"Group2"	73843.354945555
"Cell516"	"Cell516"	"Batch2"	"Group2"	69756.4373643495
"Cell517"	"Cell517"	"Batch2"	"Group2"	53067.6357208101
"Cell518"	"Cell518"	"Batch2"	"Group2"	55598.6426660431
"Cell519"	"Cell519"	"Batch2"	"Group2"	74010.7171215351
"Cell520"	"Cell520"	"Batch2"	"Group2"	73940.9518710352
"Cell521"	"Cell521"	"Batch2"	"Group1"	67278.3945553513
"Cell522"	"Cell522"	"Batch2"	"Group1"	49152.6732093134
"Cell523"	"Cell523"	"Batch2"	"Group1"	83861.7058659422
"Cell524"	"Cell524"	"Batch2"	"Group2"	45553.0013052622
"Cell525"	"Cell525"	"Batch2"	"Group2"	54904.8590176456
"Cell526"	"Cell526"	"Batch2"	"Group2"	95321.5982943925
"Cell527"	"Cell527"	"Batch2"	"Group2"	66491.1700237683
"Cell528"	"Cell528"	"Batch2"	"Group1"	72703.6365275081
"Cell529"	"Cell529"	"Batch2"	"Group2"	64562.86500955
"Cell530"	"Cell530"	"Batch2"	"Group2"	49060.686986058
"Cell531"	"Cell531"	"Batch2"	"Group1"	53130.3399239267
"Cell532"	"Cell532"	"Batch2"	"Group2"	61886.063295044
"Cell533"	"Cell533"	"Batch2"	"Group1"	33333.0462673151
"Cell534"	"Cell534"	"Batch2"	"Group2"	50534.7832141853
"Cell535"	"Cell535"	"Batch2"	"Group2"	70243.0677382808
"Cell536"	"Cell536"	"Batch2"	"Group2"	56404.7583822509
"Cell537"	"Cell537"	"Batch2"	"Group2"	56572.4685578635
"Cell538"	"Cell538"	"Batch2"	"Group2"	71246.705704078
"Cell539"	"Cell539"	"Batch2"	"Group2"	53697.8876211945
"Cell540"	"Cell540"	"Batch2"	"Group2"	67897.9177785283
"Cell541"	"Cell541"	"Batch2"	"Group1"	45050.2182846473
"Cell542"	"Cell542"	"Batch2"	"Group1"	46840.2180698182
"Cell543"	"Cell543"	"Batch2"	"Group2"	42837.9168395292
"Cell544"	"Cell544"	"Batch2"	"Group2"	60893.3770436889
"Cell545"	"Cell545"	"Batch2"	"Group2"	57456.0086609213
"Cell546"	"Cell546"	"Batch2"	"Group1"	79887.4723667487
"Cell547"	"Cell547"	"Batch2"	"Group2"	59375.8928871314
"Cell548"	"Cell548"	"Batch2"	"Group2"	78491.9142713624
"Cell549"	"Cell549"	"Batch2"	"Group2"	88348.5490784486
"Cell550"	"Cell550"	"Batch2"	"Group2"	54274.6395344292
"Cell551"	"Cell551"	"Batch2"	"Group1"	64711.0862918505
"Cell552"	"Cell552"	"Batch2"	"Group2"	50565.3252263545
"Cell553"	"Cell553"	"Batch2"	"Group2"	69396.941406706
"Cell554"	"Cell554"	"Batch2"	"Group2"	48245.0221583905
"Cell555"	"Cell555"	"Batch2"	"Group2"	48761.9329410815
"Cell556"	"Cell556"	"Batch2"	"Group2"	63434.2155512155
"Cell557"	"Cell557"	"Batch2"	"Group1"	60971.5270100632
"Cell558"	"Cell558"	"Batch2"	"Group2"	63103.0659023771
"Cell559"	"Cell559"	"Batch2"	"Group1"	60710.1987911997
"Cell560"	"Cell560"	"Batch2"	"Group1"	53866.8875111668
"Cell561"	"Cell561"	"Batch2"	"Group1"	58335.118527407
"Cell562"	"Cell562"	"Batch2"	"Group2"	82787.4491749422
"Cell563"	"Cell563"	"Batch2"	"Group2"	59660.2337045811
"Cell564"	"Cell564"	"Batch2"	"Group2"	45995.6506636194
"Cell565"	"Cell565"	"Batch2"	"Group2"	50568.6939864221
"Cell566"	"Cell566"	"Batch2"	"Group2"	48032.6864335115
"Cell567"	"Cell567"	"Batch2"	"Group1"	50010.185386691
"Cell568"	"Cell568"	"Batch2"	"Group2"	46526.7742426078
"Cell569"	"Cell569"	"Batch2"	"Group2"	35412.856795648
"Cell570"	"Cell570"	"Batch2"	"Group1"	68446.8732152857
"Cell571"	"Cell571"	"Batch2"	"Group2"	68323.4484286009
"Cell572"	"Cell572"	"Batch2"	"Group2"	56947.2063319689
"Cell573"	"Cell573"	"Batch2"	"Group1"	51804.9268474225
"Cell574"	"Cell574"	"Batch2"	"Group2"	50897.2245493431
"Cell575"	"Cell575"	"Batch2"	"Group2"	64844.4670692674
"Cell576"	"Cell576"	"Batch2"	"Group2"	62649.6087176184
"Cell577"	"Cell577"	"Batch2"	"Group2"	65142.2563010997
"Cell578"	"Cell578"	"Batch2"	"Group2"	59932.1032977925
"Cell579"	"Cell579"	"Batch2"	"Group2"	67764.7063456972
"Cell580"	"Cell580"	"Batch2"	"Group2"	65266.0184731206
"Cell581"	"Cell581"	"Batch2"	"Group2"	66947.3972299629
"Cell582"	"Cell582"	"Batch2"	"Group1"	66117.7324005518
"Cell583"	"Cell583"	"Batch2"	"Group2"	83481.2344277214
"Cell584"	"Cell584"	"Batch2"	"Group2"	48484.1916076289
"Cell585"	"Cell585"	"Batch2"	"Group2"	80956.3125854743
"Cell586"	"Cell586"	"Batch2"	"Group2"	56002.8728149807
"Cell587"	"Cell587"	"Batch2"	"Group1"	59101.0429966727
"Cell588"	"Cell588"	"Batch2"	"Group1"	60852.9944612255
"Cell589"	"Cell589"	"Batch2"	"Group2"	54740.3863725721
"Cell590"	"Cell590"	"Batch2"	"Group1"	35926.7926662857
"Cell591"	"Cell591"	"Batch2"	"Group2"	56241.6853407422
"Cell592"	"Cell592"	"Batch2"	"Group1"	60371.7542942324
"Cell593"	"Cell593"	"Batch2"	"Group2"	42296.2787238262
"Cell594"	"Cell594"	"Batch2"	"Group1"	66835.3848058995
"Cell595"	"Cell595"	"Batch2"	"Group1"	53132.5631612167
"Cell596"	"Cell596"	"Batch2"	"Group2"	79981.3179858033
"Cell597"	"Cell597"	"Batch2"	"Group2"	63131.4047522671
"Cell598"	"Cell598"	"Batch2"	"Group2"	51135.9697948716
"Cell599"	"Cell599"	"Batch2"	"Group2"	61916.7762730345
"Cell600"	"Cell600"	"Batch2"	"Group2"	63039.4891957888
"Cell601"	"Cell601"	"Batch2"	"Group2"	71855.2870599845
"Cell602"	"Cell602"	"Batch2"	"Group2"	58024.784863798
"Cell603"	"Cell603"	"Batch2"	"Group1"	39867.823872465
"Cell604"	"Cell604"	"Batch2"	"Group2"	46169.1375470651
"Cell605"	"Cell605"	"Batch2"	"Group2"	50440.5083336199
"Cell606"	"Cell606"	"Batch2"	"Group2"	65202.4979245593
"Cell607"	"Cell607"	"Batch2"	"Group1"	56558.611288769
"Cell608"	"Cell608"	"Batch2"	"Group2"	52951.2147174574
"Cell609"	"Cell609"	"Batch2"	"Group2"	50565.3497710575
"Cell610"	"Cell610"	"Batch2"	"Group2"	61743.1916322444
"Cell611"	"Cell611"	"Batch2"	"Group2"	50499.2389495707
"Cell612"	"Cell612"	"Batch2"	"Group2"	55293.7845132486
"Cell613"	"Cell613"	"Batch2"	"Group2"	49612.8203813186
"Cell614"	"Cell614"	"Batch2"	"Group2"	45358.3359224698
"Cell615"	"Cell615"	"Batch2"	"Group1"	72477.8964475315
"Cell616"	"Cell616"	"Batch2"	"Group1"	46004.7948539061
"Cell617"	"Cell617"	"Batch2"	"Group2"	60755.0708943954
"Cell618"	"Cell618"	"Batch2"	"Group2"	53442.5663613511
"Cell619"	"Cell619"	"Batch2"	"Group2"	48451.0779723752
"Cell620"	"Cell620"	"Batch2"	"Group2"	63061.3100588978
"Cell621"	"Cell621"	"Batch2"	"Group2"	64513.3140526884
"Cell622"	"Cell622"	"Batch2"	"Group2"	77105.7668566083
"Cell623"	"Cell623"	"Batch2"	"Group2"	63898.1059584598
"Cell624"	"Cell624"	"Batch2"	"Group1"	58238.7684250074
"Cell625"	"Cell625"	"Batch2"	"Group2"	100759.702656612
"Cell626"	"Cell626"	"Batch2"	"Group2"	52572.2195779582
"Cell627"	"Cell627"	"Batch2"	"Group2"	48989.6021883488
"Cell628"	"Cell628"	"Batch2"	"Group2"	53797.2278260312
"Cell629"	"Cell629"	"Batch2"	"Group1"	58566.4383237352
"Cell630"	"Cell630"	"Batch2"	"Group2"	67513.7144906915
"Cell631"	"Cell631"	"Batch2"	"Group2"	65066.7543523041
"Cell632"	"Cell632"	"Batch2"	"Group2"	58621.0936483532
"Cell633"	"Cell633"	"Batch2"	"Group2"	50447.4506528213
"Cell634"	"Cell634"	"Batch2"	"Group2"	75016.6574254739
"Cell635"	"Cell635"	"Batch2"	"Group2"	71916.1635402986
"Cell636"	"Cell636"	"Batch2"	"Group1"	51798.8942479534
"Cell637"	"Cell637"	"Batch2"	"Group2"	68689.7877693171
"Cell638"	"Cell638"	"Batch2"	"Group2"	65513.8702225813
"Cell639"	"Cell639"	"Batch2"	"Group1"	73794.857103879
"Cell640"	"Cell640"	"Batch2"	"Group1"	61693.0034312537
"Cell641"	"Cell641"	"Batch2"	"Group2"	47657.0841887792
"Cell642"	"Cell642"	"Batch2"	"Group2"	70298.0880547678
"Cell643"	"Cell643"	"Batch2"	"Group2"	51753.9840069599
"Cell644"	"Cell644"	"Batch2"	"Group1"	66532.2357389466
"Cell645"	"Cell645"	"Batch2"	"Group2"	83675.0191082708
"Cell646"	"Cell646"	"Batch2"	"Group2"	45081.8225217089
"Cell647"	"Cell647"	"Batch2"	"Group2"	81828.6053596563
"Cell648"	"Cell648"	"Batch2"	"Group2"	78482.598323094
"Cell649"	"Cell649"	"Batch2"	"Group1"	53866.3169794429
"Cell650"	"Cell650"	"Batch2"	"Group1"	56939.5492688502
"Cell651"	"Cell651"	"Batch2"	"Group2"	52199.6183604493
"Cell652"	"Cell652"	"Batch2"	"Group1"	53419.2512109766
"Cell653"	"Cell653"	"Batch2"	"Group1"	67233.4571123697
"Cell654"	"Cell654"	"Batch2"	"Group2"	50021.5003482897
"Cell655"	"Cell655"	"Batch2"	"Group2"	57637.8081252779
"Cell656"	"Cell656"	"Batch2"	"Group2"	58175.484969777
"Cell657"	"Cell657"	"Batch2"	"Group2"	58728.7972939136
"Cell658"	"Cell658"	"Batch2"	"Group2"	62086.8408657647
"Cell659"	"Cell659"	"Batch2"	"Group2"	82397.8680050131
"Cell660"	"Cell660"	"Batch2"	"Group2"	54706.2724591392
"Cell661"	"Cell661"	"Batch2"	"Group1"	51073.6483360919
"Cell662"	"Cell662"	"Batch2"	"Group1"	70154.6149274431
"Cell663"	"Cell663"	"Batch2"	"Group2"	64608.06065658
"Cell664"	"Cell664"	"Batch2"	"Group1"	62765.2965242885
"Cell665"	"Cell665"	"Batch2"	"Group2"	67386.3431649541
"Cell666"	"Cell666"	"Batch2"	"Group1"	45144.0586843149
"Cell667"	"Cell667"	"Batch2"	"Group2"	74062.0962232109
"Cell668"	"Cell668"	"Batch2"	"Group2"	65564.1004421756
"Cell669"	"Cell669"	"Batch2"	"Group1"	72421.7969134393
"Cell670"	"Cell670"	"Batch2"	"Group2"	53119.3452027933
"Cell671"	"Cell671"	"Batch2"	"Group2"	41423.8462318894
"Cell672"	"Cell672"	"Batch2"	"Group1"	54343.5979917075
"Cell673"	"Cell673"	"Batch2"	"Group2"	49942.6505440239
"Cell674"	"Cell674"	"Batch2"	"Group2"	93391.2082294641
"Cell675"	"Cell675"	"Batch2"	"Group2"	55122.1375419774
"Cell676"	"Cell676"	"Batch2"	"Group2"	57346.3932630426
"Cell677"	"Cell677"	"Batch2"	"Group2"	74057.3968031752
"Cell678"	"Cell678"	"Batch2"	"Group2"	67783.1762557256
"Cell679"	"Cell679"	"Batch2"	"Group2"	68501.6649898302
"Cell680"	"Cell680"	"Batch2"	"Group2"	101391.233583442
"Cell681"	"Cell681"	"Batch2"	"Group2"	61896.7454492932
"Cell682"	"Cell682"	"Batch2"	"Group1"	87643.7084596674
"Cell683"	"Cell683"	"Batch2"	"Group1"	62990.7821924185
"Cell684"	"Cell684"	"Batch2"	"Group1"	44720.8719912668
"Cell685"	"Cell685"	"Batch2"	"Group2"	38351.5549302981
"Cell686"	"Cell686"	"Batch2"	"Group1"	68182.0566494686
"Cell687"	"Cell687"	"Batch2"	"Group2"	49028.1561340934
"Cell688"	"Cell688"	"Batch2"	"Group2"	60378.8693029733
"Cell689"	"Cell689"	"Batch2"	"Group1"	85426.2525980526
"Cell690"	"Cell690"	"Batch2"	"Group2"	64179.3338666316
"Cell691"	"Cell691"	"Batch2"	"Group2"	56533.0391967175
"Cell692"	"Cell692"	"Batch2"	"Group2"	40744.8475253183
"Cell693"	"Cell693"	"Batch2"	"Group1"	51014.7547216232
"Cell694"	"Cell694"	"Batch2"	"Group1"	53363.1870353217
"Cell695"	"Cell695"	"Batch2"	"Group2"	68654.4442247981
"Cell696"	"Cell696"	"Batch2"	"Group1"	65952.5926363367
"Cell697"	"Cell697"	"Batch2"	"Group2"	60041.584836401
"Cell698"	"Cell698"	"Batch2"	"Group1"	62071.9048034271
"Cell699"	"Cell699"	"Batch2"	"Group1"	56521.4420436673
"Cell700"	"Cell700"	"Batch2"	"Group2"	60237.2038508574
"Cell701"	"Cell701"	"Batch2"	"Group1"	63217.3976614539
"Cell702"	"Cell702"	"Batch2"	"Group2"	65501.7203053778
"Cell703"	"Cell703"	"Batch2"	"Group2"	86294.8786452023
"Cell704"	"Cell704"	"Batch2"	"Group1"	47934.7148984303
"Cell705"	"Cell705"	"Batch2"	"Group1"	80415.4407869432
"Cell706"	"Cell706"	"Batch2"	"Group1"	68480.3753545123
"Cell707"	"Cell707"	"Batch2"	"Group2"	43955.5551099622
"Cell708"	"Cell708"	"Batch2"	"Group2"	56646.7873532185
"Cell709"	"Cell709"	"Batch2"	"Group2"	52792.8688865178
"Cell710"	"Cell710"	"Batch2"	"Group2"	49682.0961958747
"Cell711"	"Cell711"	"Batch2"	"Group1"	44021.0277942113
"Cell712"	"Cell712"	"Batch2"	"Group1"	54240.3074042125
"Cell713"	"Cell713"	"Batch2"	"Group2"	54881.302567353
"Cell714"	"Cell714"	"Batch2"	"Group1"	56122.4429863784
"Cell715"	"Cell715"	"Batch2"	"Group1"	39647.2661931971
"Cell716"	"Cell716"	"Batch2"	"Group1"	65401.5024889864
"Cell717"	"Cell717"	"Batch2"	"Group2"	69513.0823654753
"Cell718"	"Cell718"	"Batch2"	"Group2"	70117.5623717427
"Cell719"	"Cell719"	"Batch2"	"Group2"	69852.9852238765
"Cell720"	"Cell720"	"Batch2"	"Group2"	62323.9626198727
"Cell721"	"Cell721"	"Batch2"	"Group2"	80311.6528894099
"Cell722"	"Cell722"	"Batch2"	"Group2"	50247.1397152573
"Cell723"	"Cell723"	"Batch2"	"Group2"	46848.7244600188
"Cell724"	"Cell724"	"Batch2"	"Group2"	64059.4978248512
"Cell725"	"Cell725"	"Batch2"	"Group2"	65392.6285278262
"Cell726"	"Cell726"	"Batch2"	"Group1"	51570.0682069212
"Cell727"	"Cell727"	"Batch2"	"Group2"	60314.1022834622
"Cell728"	"Cell728"	"Batch2"	"Group2"	63873.6329193775
"Cell729"	"Cell729"	"Batch2"	"Group2"	64597.7724178492
"Cell730"	"Cell730"	"Batch2"	"Group2"	71347.051611649
"Cell731"	"Cell731"	"Batch2"	"Group2"	72162.6297587364
"Cell732"	"Cell732"	"Batch2"	"Group1"	36836.2795355502
"Cell733"	"Cell733"	"Batch2"	"Group1"	84592.3236672911
"Cell734"	"Cell734"	"Batch2"	"Group1"	65591.4433217089
"Cell735"	"Cell735"	"Batch2"	"Group2"	53419.3292726759
"Cell736"	"Cell736"	"Batch2"	"Group2"	47909.7887023815
"Cell737"	"Cell737"	"Batch2"	"Group2"	71755.0025478584
"Cell738"	"Cell738"	"Batch2"	"Group2"	63934.8070349705
"Cell739"	"Cell739"	"Batch2"	"Group2"	74281.5581539505
"Cell740"	"Cell740"	"Batch2"	"Group1"	59156.2122505021
"Cell741"	"Cell741"	"Batch2"	"Group1"	57027.9197806806
"Cell742"	"Cell742"	"Batch2"	"Group2"	93740.3975204012
"Cell743"	"Cell743"	"Batch2"	"Group2"	39846.9604221058
"Cell744"	"Cell744"	"Batch2"	"Group1"	64743.1312605441
"Cell745"	"Cell745"	"Batch2"	"Group1"	64664.1782896442
"Cell746"	"Cell746"	"Batch2"	"Group2"	65364.7969708941
"Cell747"	"Cell747"	"Batch2"	"Group2"	66945.1014001844
"Cell748"	"Cell748"	"Batch2"	"Group1"	56654.0481807581
"Cell749"	"Cell749"	"Batch2"	"Group1"	75603.4817345116
"Cell750"	"Cell750"	"Batch2"	"Group2"	36649.1147555129
"Cell751"	"Cell751"	"Batch2"	"Group2"	50964.6099412002
"Cell752"	"Cell752"	"Batch2"	"Group2"	58464.27072977
"Cell753"	"Cell753"	"Batch2"	"Group2"	61860.8784546541
"Cell754"	"Cell754"	"Batch2"	"Group2"	64944.9912136694
"Cell755"	"Cell755"	"Batch2"	"Group2"	68041.1534659782
"Cell756"	"Cell756"	"Batch2"	"Group2"	44280.3580363744
"Cell757"	"Cell757"	"Batch2"	"Group2"	59966.0663798844
"Cell758"	"Cell758"	"Batch2"	"Group2"	66491.7796289036
"Cell759"	"Cell759"	"Batch2"	"Group1"	78062.6645126942
"Cell760"	"Cell760"	"Batch2"	"Group1"	58529.5160073769
"Cell761"	"Cell761"	"Batch2"	"Group1"	82440.3182746594
"Cell762"	"Cell762"	"Batch2"	"Group1"	56596.0447051143
"Cell763"	"Cell763"	"Batch2"	"Group2"	59279.5916954635
"Cell764"	"Cell764"	"Batch2"	"Group2"	61823.7470100348
"Cell765"	"Cell765"	"Batch2"	"Group2"	54150.5758931749
"Cell766"	"Cell766"	"Batch2"	"Group2"	69091.5426775625
"Cell767"	"Cell767"	"Batch2"	"Group1"	45745.2179413056
"Cell768"	"Cell768"	"Batch2"	"Group2"	59806.5991147402
"Cell769"	"Cell769"	"Batch2"	"Group2"	53738.8503999078
"Cell770"	"Cell770"	"Batch2"	"Group2"	53668.7004857316
"Cell771"	"Cell771"	"Batch2"	"Group2"	75379.3826846331
"Cell772"	"Cell772"	"Batch2"	"Group2"	73898.2138181551
"Cell773"	"Cell773"	"Batch2"	"Group2"	82421.8050876357
"Cell774"	"Cell774"	"Batch2"	"Group2"	56797.1053565639
"Cell775"	"Cell775"	"Batch2"	"Group1"	60263.3954348167
"Cell776"	"Cell776"	"Batch2"	"Group2"	43900.603163784
"Cell777"	"Cell777"	"Batch2"	"Group1"	55401.6199894737
"Cell778"	"Cell778"	"Batch2"	"Group1"	85206.2122963779
"Cell779"	"Cell779"	"Batch2"	"Group1"	55088.4004311117
"Cell780"	"Cell780"	"Batch2"	"Group1"	47416.8183491111
"Cell781"	"Cell781"	"Batch2"	"Group2"	60377.9296038596
"Cell782"	"Cell782"	"Batch2"	"Group2"	76825.9556362074
"Cell783"	"Cell783"	"Batch2"	"Group2"	43669.5236798776
"Cell784"	"Cell784"	"Batch2"	"Group2"	56910.5437232989
"Cell785"	"Cell785"	"Batch2"	"Group2"	65746.788741257
"Cell786"	"Cell786"	"Batch2"	"Group2"	88921.2120601558
"Cell787"	"Cell787"	"Batch2"	"Group2"	52938.1135299568
"Cell788"	"Cell788"	"Batch2"	"Group2"	81136.1851693924
"Cell789"	"Cell789"	"Batch2"	"Group2"	54908.3637620975
"Cell790"	"Cell790"	"Batch2"	"Group2"	48717.6398656766
"Cell791"	"Cell791"	"Batch2"	"Group1"	47721.2991528626
"Cell792"	"Cell792"	"Batch2"	"Group2"	57284.2144330822
"Cell793"	"Cell793"	"Batch2"	"Group2"	59606.3302832346
"Cell794"	"Cell794"	"Batch2"	"Group2"	56129.6590931767
"Cell795"	"Cell795"	"Batch2"	"Group2"	73898.2652185135
"Cell796"	"Cell796"	"Batch2"	"Group2"	62187.4340339038
"Cell797"	"Cell797"	"Batch2"	"Group2"	58620.1913337613
"Cell798"	"Cell798"	"Batch2"	"Group2"	53076.4765098225
"Cell799"	"Cell799"	"Batch2"	"Group1"	46202.8523225581
