"Cell"	"Batch"	"Group"	"ExpLibSize"
"Cell400"	"Cell400"	"Batch1"	"Group2"	100759.702656612
"Cell401"	"Cell401"	"Batch1"	"Group2"	52572.2195779582
"Cell402"	"Cell402"	"Batch1"	"Group2"	48989.6021883488
"Cell403"	"Cell403"	"Batch1"	"Group2"	53797.2278260312
"Cell404"	"Cell404"	"Batch1"	"Group2"	58566.4383237352
"Cell405"	"Cell405"	"Batch1"	"Group1"	67513.7144906915
"Cell406"	"Cell406"	"Batch1"	"Group2"	65066.7543523041
"Cell407"	"Cell407"	"Batch1"	"Group1"	58621.0936483532
"Cell408"	"Cell408"	"Batch1"	"Group2"	50447.4506528213
"Cell409"	"Cell409"	"Batch1"	"Group2"	75016.6574254739
"Cell410"	"Cell410"	"Batch1"	"Group2"	71916.1635402986
"Cell411"	"Cell411"	"Batch1"	"Group2"	51798.8942479534
"Cell412"	"Cell412"	"Batch1"	"Group2"	68689.7877693171
"Cell413"	"Cell413"	"Batch1"	"Group2"	65513.8702225813
"Cell414"	"Cell414"	"Batch1"	"Group1"	73794.857103879
"Cell415"	"Cell415"	"Batch1"	"Group2"	61693.0034312537
"Cell416"	"Cell416"	"Batch1"	"Group2"	47657.0841887792
"Cell417"	"Cell417"	"Batch1"	"Group2"	70298.0880547678
"Cell418"	"Cell418"	"Batch1"	"Group1"	51753.9840069599
"Cell419"	"Cell419"	"Batch1"	"Group2"	66532.2357389466
"Cell420"	"Cell420"	"Batch1"	"Group2"	83675.0191082708
"Cell421"	"Cell421"	"Batch1"	"Group2"	45081.8225217089
"Cell422"	"Cell422"	"Batch1"	"Group2"	81828.6053596563
"Cell423"	"Cell423"	"Batch1"	"Group1"	78482.598323094
"Cell424"	"Cell424"	"Batch1"	"Group1"	53866.3169794429
"Cell425"	"Cell425"	"Batch1"	"Group2"	56939.5492688502
"Cell426"	"Cell426"	"Batch1"	"Group2"	52199.6183604493
"Cell427"	"Cell427"	"Batch1"	"Group2"	53419.2512109766
"Cell428"	"Cell428"	"Batch1"	"Group2"	67233.4571123697
"Cell429"	"Cell429"	"Batch1"	"Group2"	50021.5003482897
"Cell430"	"Cell430"	"Batch1"	"Group2"	57637.8081252779
"Cell431"	"Cell431"	"Batch1"	"Group2"	58175.484969777
"Cell432"	"Cell432"	"Batch1"	"Group2"	58728.7972939136
"Cell433"	"Cell433"	"Batch1"	"Group2"	62086.8408657647
"Cell434"	"Cell434"	"Batch1"	"Group2"	82397.8680050131
"Cell435"	"Cell435"	"Batch1"	"Group1"	54706.2724591392
"Cell436"	"Cell436"	"Batch1"	"Group2"	51073.6483360919
"Cell437"	"Cell437"	"Batch1"	"Group2"	70154.6149274431
"Cell438"	"Cell438"	"Batch1"	"Group2"	64608.06065658
"Cell439"	"Cell439"	"Batch1"	"Group2"	62765.2965242885
"Cell440"	"Cell440"	"Batch1"	"Group2"	67386.3431649541
"Cell441"	"Cell441"	"Batch1"	"Group2"	45144.0586843149
"Cell442"	"Cell442"	"Batch1"	"Group1"	74062.0962232109
"Cell443"	"Cell443"	"Batch1"	"Group2"	65564.1004421756
"Cell444"	"Cell444"	"Batch1"	"Group1"	72421.7969134393
"Cell445"	"Cell445"	"Batch1"	"Group2"	53119.3452027933
"Cell446"	"Cell446"	"Batch1"	"Group2"	41423.8462318894
"Cell447"	"Cell447"	"Batch1"	"Group2"	54343.5979917075
"Cell448"	"Cell448"	"Batch1"	"Group1"	49942.6505440239
"Cell449"	"Cell449"	"Batch1"	"Group2"	93391.2082294641
"Cell450"	"Cell450"	"Batch1"	"Group2"	55122.1375419774
"Cell451"	"Cell451"	"Batch1"	"Group2"	57346.3932630426
"Cell452"	"Cell452"	"Batch1"	"Group2"	74057.3968031752
"Cell453"	"Cell453"	"Batch1"	"Group2"	67783.1762557256
"Cell454"	"Cell454"	"Batch1"	"Group2"	68501.6649898302
"Cell455"	"Cell455"	"Batch1"	"Group2"	101391.233583442
"Cell456"	"Cell456"	"Batch1"	"Group2"	61896.7454492932
"Cell457"	"Cell457"	"Batch1"	"Group2"	87643.7084596674
"Cell458"	"Cell458"	"Batch1"	"Group2"	62990.7821924185
"Cell459"	"Cell459"	"Batch1"	"Group1"	44720.8719912668
"Cell460"	"Cell460"	"Batch1"	"Group1"	38351.5549302981
"Cell461"	"Cell461"	"Batch1"	"Group2"	68182.0566494686
"Cell462"	"Cell462"	"Batch1"	"Group2"	49028.1561340934
"Cell463"	"Cell463"	"Batch1"	"Group1"	60378.8693029733
"Cell464"	"Cell464"	"Batch1"	"Group2"	85426.2525980526
"Cell465"	"Cell465"	"Batch1"	"Group2"	64179.3338666316
"Cell466"	"Cell466"	"Batch1"	"Group2"	56533.0391967175
"Cell467"	"Cell467"	"Batch1"	"Group2"	40744.8475253183
"Cell468"	"Cell468"	"Batch1"	"Group2"	51014.7547216232
"Cell469"	"Cell469"	"Batch1"	"Group2"	53363.1870353217
"Cell470"	"Cell470"	"Batch1"	"Group1"	68654.4442247981
"Cell471"	"Cell471"	"Batch1"	"Group2"	65952.5926363367
"Cell472"	"Cell472"	"Batch1"	"Group2"	60041.584836401
"Cell473"	"Cell473"	"Batch1"	"Group1"	62071.9048034271
"Cell474"	"Cell474"	"Batch1"	"Group1"	56521.4420436673
"Cell475"	"Cell475"	"Batch1"	"Group2"	60237.2038508574
"Cell476"	"Cell476"	"Batch1"	"Group2"	63217.3976614539
"Cell477"	"Cell477"	"Batch1"	"Group2"	65501.7203053778
"Cell478"	"Cell478"	"Batch1"	"Group1"	86294.8786452023
"Cell479"	"Cell479"	"Batch1"	"Group2"	47934.7148984303
"Cell480"	"Cell480"	"Batch1"	"Group1"	80415.4407869432
"Cell481"	"Cell481"	"Batch1"	"Group2"	68480.3753545123
"Cell482"	"Cell482"	"Batch1"	"Group2"	43955.5551099622
"Cell483"	"Cell483"	"Batch1"	"Group1"	56646.7873532185
"Cell484"	"Cell484"	"Batch1"	"Group2"	52792.8688865178
"Cell485"	"Cell485"	"Batch1"	"Group1"	49682.0961958747
"Cell486"	"Cell486"	"Batch1"	"Group2"	44021.0277942113
"Cell487"	"Cell487"	"Batch1"	"Group1"	54240.3074042125
"Cell488"	"Cell488"	"Batch1"	"Group2"	54881.302567353
"Cell489"	"Cell489"	"Batch1"	"Group2"	56122.4429863784
"Cell490"	"Cell490"	"Batch1"	"Group2"	39647.2661931971
"Cell491"	"Cell491"	"Batch1"	"Group1"	65401.5024889864
"Cell492"	"Cell492"	"Batch1"	"Group2"	69513.0823654753
"Cell493"	"Cell493"	"Batch1"	"Group1"	70117.5623717427
"Cell494"	"Cell494"	"Batch1"	"Group2"	69852.9852238765
"Cell495"	"Cell495"	"Batch1"	"Group2"	62323.9626198727
"Cell496"	"Cell496"	"Batch1"	"Group2"	80311.6528894099
"Cell497"	"Cell497"	"Batch1"	"Group1"	50247.1397152573
"Cell498"	"Cell498"	"Batch1"	"Group2"	46848.7244600188
"Cell499"	"Cell499"	"Batch1"	"Group2"	64059.4978248512
"Cell500"	"Cell500"	"Batch1"	"Group2"	65392.6285278262
"Cell501"	"Cell501"	"Batch2"	"Group2"	51570.0682069212
"Cell502"	"Cell502"	"Batch2"	"Group2"	60314.1022834622
"Cell503"	"Cell503"	"Batch2"	"Group2"	63873.6329193775
"Cell504"	"Cell504"	"Batch2"	"Group1"	64597.7724178492
"Cell505"	"Cell505"	"Batch2"	"Group2"	71347.051611649
"Cell506"	"Cell506"	"Batch2"	"Group1"	72162.6297587364
"Cell507"	"Cell507"	"Batch2"	"Group2"	36836.2795355502
"Cell508"	"Cell508"	"Batch2"	"Group2"	84592.3236672911
"Cell509"	"Cell509"	"Batch2"	"Group1"	65591.4433217089
"Cell510"	"Cell510"	"Batch2"	"Group2"	53419.3292726759
"Cell511"	"Cell511"	"Batch2"	"Group2"	47909.7887023815
"Cell512"	"Cell512"	"Batch2"	"Group1"	71755.0025478584
"Cell513"	"Cell513"	"Batch2"	"Group2"	63934.8070349705
"Cell514"	"Cell514"	"Batch2"	"Group2"	74281.5581539505
"Cell515"	"Cell515"	"Batch2"	"Group2"	59156.2122505021
"Cell516"	"Cell516"	"Batch2"	"Group2"	57027.9197806806
"Cell517"	"Cell517"	"Batch2"	"Group2"	93740.3975204012
"Cell518"	"Cell518"	"Batch2"	"Group2"	39846.9604221058
"Cell519"	"Cell519"	"Batch2"	"Group2"	64743.1312605441
"Cell520"	"Cell520"	"Batch2"	"Group2"	64664.1782896442
"Cell521"	"Cell521"	"Batch2"	"Group1"	65364.7969708941
"Cell522"	"Cell522"	"Batch2"	"Group1"	66945.1014001844
"Cell523"	"Cell523"	"Batch2"	"Group1"	56654.0481807581
"Cell524"	"Cell524"	"Batch2"	"Group2"	75603.4817345116
"Cell525"	"Cell525"	"Batch2"	"Group2"	36649.1147555129
"Cell526"	"Cell526"	"Batch2"	"Group2"	50964.6099412002
"Cell527"	"Cell527"	"Batch2"	"Group2"	58464.27072977
"Cell528"	"Cell528"	"Batch2"	"Group1"	61860.8784546541
"Cell529"	"Cell529"	"Batch2"	"Group2"	64944.9912136694
"Cell530"	"Cell530"	"Batch2"	"Group2"	68041.1534659782
"Cell531"	"Cell531"	"Batch2"	"Group1"	44280.3580363744
"Cell532"	"Cell532"	"Batch2"	"Group2"	59966.0663798844
"Cell533"	"Cell533"	"Batch2"	"Group1"	66491.7796289036
"Cell534"	"Cell534"	"Batch2"	"Group2"	78062.6645126942
"Cell535"	"Cell535"	"Batch2"	"Group2"	58529.5160073769
"Cell536"	"Cell536"	"Batch2"	"Group2"	82440.3182746594
"Cell537"	"Cell537"	"Batch2"	"Group2"	56596.0447051143
"Cell538"	"Cell538"	"Batch2"	"Group2"	59279.5916954635
"Cell539"	"Cell539"	"Batch2"	"Group2"	61823.7470100348
"Cell540"	"Cell540"	"Batch2"	"Group2"	54150.5758931749
"Cell541"	"Cell541"	"Batch2"	"Group1"	69091.5426775625
"Cell542"	"Cell542"	"Batch2"	"Group1"	45745.2179413056
"Cell543"	"Cell543"	"Batch2"	"Group2"	59806.5991147402
"Cell544"	"Cell544"	"Batch2"	"Group2"	53738.8503999078
"Cell545"	"Cell545"	"Batch2"	"Group2"	53668.7004857316
"Cell546"	"Cell546"	"Batch2"	"Group1"	75379.3826846331
"Cell547"	"Cell547"	"Batch2"	"Group2"	73898.2138181551
"Cell548"	"Cell548"	"Batch2"	"Group2"	82421.8050876357
"Cell549"	"Cell549"	"Batch2"	"Group2"	56797.1053565639
"Cell550"	"Cell550"	"Batch2"	"Group2"	60263.3954348167
"Cell551"	"Cell551"	"Batch2"	"Group1"	43900.603163784
"Cell552"	"Cell552"	"Batch2"	"Group2"	55401.6199894737
"Cell553"	"Cell553"	"Batch2"	"Group2"	85206.2122963779
"Cell554"	"Cell554"	"Batch2"	"Group2"	55088.4004311117
"Cell555"	"Cell555"	"Batch2"	"Group2"	47416.8183491111
"Cell556"	"Cell556"	"Batch2"	"Group2"	60377.9296038596
"Cell557"	"Cell557"	"Batch2"	"Group1"	76825.9556362074
"Cell558"	"Cell558"	"Batch2"	"Group2"	43669.5236798776
"Cell559"	"Cell559"	"Batch2"	"Group1"	56910.5437232989
"Cell560"	"Cell560"	"Batch2"	"Group1"	65746.788741257
"Cell561"	"Cell561"	"Batch2"	"Group1"	88921.2120601558
"Cell562"	"Cell562"	"Batch2"	"Group2"	52938.1135299568
"Cell563"	"Cell563"	"Batch2"	"Group2"	81136.1851693924
"Cell564"	"Cell564"	"Batch2"	"Group2"	54908.3637620975
"Cell565"	"Cell565"	"Batch2"	"Group2"	48717.6398656766
"Cell566"	"Cell566"	"Batch2"	"Group2"	47721.2991528626
"Cell567"	"Cell567"	"Batch2"	"Group1"	57284.2144330822
"Cell568"	"Cell568"	"Batch2"	"Group2"	59606.3302832346
"Cell569"	"Cell569"	"Batch2"	"Group2"	56129.6590931767
"Cell570"	"Cell570"	"Batch2"	"Group1"	73898.2652185135
"Cell571"	"Cell571"	"Batch2"	"Group2"	62187.4340339038
"Cell572"	"Cell572"	"Batch2"	"Group2"	58620.1913337613
"Cell573"	"Cell573"	"Batch2"	"Group1"	53076.4765098225
"Cell574"	"Cell574"	"Batch2"	"Group2"	46202.8523225581
"Cell575"	"Cell575"	"Batch2"	"Group2"	40462.6527067419
"Cell576"	"Cell576"	"Batch2"	"Group2"	62485.0336909432
"Cell577"	"Cell577"	"Batch2"	"Group2"	60178.3043824717
"Cell578"	"Cell578"	"Batch2"	"Group2"	78669.0142906406
"Cell579"	"Cell579"	"Batch2"	"Group2"	63463.4076721271
"Cell580"	"Cell580"	"Batch2"	"Group2"	70223.8685616658
"Cell581"	"Cell581"	"Batch2"	"Group2"	60366.963651581
"Cell582"	"Cell582"	"Batch2"	"Group1"	50834.736541461
"Cell583"	"Cell583"	"Batch2"	"Group2"	63444.9657905839
"Cell584"	"Cell584"	"Batch2"	"Group2"	64084.4755366774
"Cell585"	"Cell585"	"Batch2"	"Group2"	50844.2060931526
"Cell586"	"Cell586"	"Batch2"	"Group2"	59530.8614533706
"Cell587"	"Cell587"	"Batch2"	"Group1"	89335.6881372135
"Cell588"	"Cell588"	"Batch2"	"Group1"	47769.6981403684
"Cell589"	"Cell589"	"Batch2"	"Group2"	80373.1720420366
"Cell590"	"Cell590"	"Batch2"	"Group1"	57215.8488452448
"Cell591"	"Cell591"	"Batch2"	"Group2"	80536.2054346432
"Cell592"	"Cell592"	"Batch2"	"Group1"	50583.9375472158
"Cell593"	"Cell593"	"Batch2"	"Group2"	59086.6881083085
"Cell594"	"Cell594"	"Batch2"	"Group1"	63719.5498610542
"Cell595"	"Cell595"	"Batch2"	"Group1"	58540.9597180969
"Cell596"	"Cell596"	"Batch2"	"Group2"	68305.6501619787
"Cell597"	"Cell597"	"Batch2"	"Group2"	57908.9773044318
"Cell598"	"Cell598"	"Batch2"	"Group2"	76250.1523905331
"Cell599"	"Cell599"	"Batch2"	"Group2"	61950.0619326575
"Cell600"	"Cell600"	"Batch2"	"Group2"	68767.321112363
"Cell601"	"Cell601"	"Batch2"	"Group2"	47235.0089975603
"Cell602"	"Cell602"	"Batch2"	"Group2"	52487.070489624
"Cell603"	"Cell603"	"Batch2"	"Group1"	74451.3811828679
"Cell604"	"Cell604"	"Batch2"	"Group2"	66287.5375708872
"Cell605"	"Cell605"	"Batch2"	"Group2"	58268.6023958237
"Cell606"	"Cell606"	"Batch2"	"Group2"	58585.5555352694
"Cell607"	"Cell607"	"Batch2"	"Group1"	69632.0363002412
"Cell608"	"Cell608"	"Batch2"	"Group2"	57253.1382023659
"Cell609"	"Cell609"	"Batch2"	"Group2"	60778.4785568941
"Cell610"	"Cell610"	"Batch2"	"Group2"	43079.7806501085
"Cell611"	"Cell611"	"Batch2"	"Group2"	85374.4259539117
"Cell612"	"Cell612"	"Batch2"	"Group2"	69786.3410888565
"Cell613"	"Cell613"	"Batch2"	"Group2"	70718.1522018135
"Cell614"	"Cell614"	"Batch2"	"Group2"	40900.9469880694
"Cell615"	"Cell615"	"Batch2"	"Group1"	59625.1452806916
"Cell616"	"Cell616"	"Batch2"	"Group1"	55172.1302234499
"Cell617"	"Cell617"	"Batch2"	"Group2"	45466.1212045769
"Cell618"	"Cell618"	"Batch2"	"Group2"	69250.5298219396
"Cell619"	"Cell619"	"Batch2"	"Group2"	76636.3017189427
"Cell620"	"Cell620"	"Batch2"	"Group2"	53602.7214357223
"Cell621"	"Cell621"	"Batch2"	"Group2"	57191.5800388309
"Cell622"	"Cell622"	"Batch2"	"Group2"	84313.0889109023
"Cell623"	"Cell623"	"Batch2"	"Group2"	43046.5952879592
"Cell624"	"Cell624"	"Batch2"	"Group1"	69483.4696908074
"Cell625"	"Cell625"	"Batch2"	"Group2"	56229.4396099774
"Cell626"	"Cell626"	"Batch2"	"Group2"	58509.1149222281
"Cell627"	"Cell627"	"Batch2"	"Group2"	52987.1723149039
"Cell628"	"Cell628"	"Batch2"	"Group2"	74558.4809631639
"Cell629"	"Cell629"	"Batch2"	"Group1"	47789.7508336753
"Cell630"	"Cell630"	"Batch2"	"Group2"	72585.6046785484
"Cell631"	"Cell631"	"Batch2"	"Group2"	79323.7456274298
"Cell632"	"Cell632"	"Batch2"	"Group2"	43116.8908426132
"Cell633"	"Cell633"	"Batch2"	"Group2"	47792.2686412245
"Cell634"	"Cell634"	"Batch2"	"Group2"	67393.8533463799
"Cell635"	"Cell635"	"Batch2"	"Group2"	49451.0305016587
"Cell636"	"Cell636"	"Batch2"	"Group1"	52140.3303206283
"Cell637"	"Cell637"	"Batch2"	"Group2"	54771.7290478367
"Cell638"	"Cell638"	"Batch2"	"Group2"	55887.8986912476
"Cell639"	"Cell639"	"Batch2"	"Group1"	68922.6153160157
"Cell640"	"Cell640"	"Batch2"	"Group1"	53071.6861253883
"Cell641"	"Cell641"	"Batch2"	"Group2"	60953.7148678109
"Cell642"	"Cell642"	"Batch2"	"Group2"	69390.0613095884
"Cell643"	"Cell643"	"Batch2"	"Group2"	43999.0847296706
"Cell644"	"Cell644"	"Batch2"	"Group1"	52160.1223085471
"Cell645"	"Cell645"	"Batch2"	"Group2"	71108.2535004229
"Cell646"	"Cell646"	"Batch2"	"Group2"	55530.9638775144
"Cell647"	"Cell647"	"Batch2"	"Group2"	36061.5797936947
"Cell648"	"Cell648"	"Batch2"	"Group2"	50434.8737506417
"Cell649"	"Cell649"	"Batch2"	"Group1"	70488.530060381
"Cell650"	"Cell650"	"Batch2"	"Group1"	54977.6610045847
"Cell651"	"Cell651"	"Batch2"	"Group2"	55219.5663318481
"Cell652"	"Cell652"	"Batch2"	"Group1"	58153.7797100544
"Cell653"	"Cell653"	"Batch2"	"Group1"	69140.3152886504
"Cell654"	"Cell654"	"Batch2"	"Group2"	54272.9839822363
"Cell655"	"Cell655"	"Batch2"	"Group2"	65853.7522736354
"Cell656"	"Cell656"	"Batch2"	"Group2"	67146.4096968966
"Cell657"	"Cell657"	"Batch2"	"Group2"	48836.2470945777
"Cell658"	"Cell658"	"Batch2"	"Group2"	59137.7976500365
"Cell659"	"Cell659"	"Batch2"	"Group2"	53762.9033593531
"Cell660"	"Cell660"	"Batch2"	"Group2"	65081.1964345053
"Cell661"	"Cell661"	"Batch2"	"Group1"	44282.4922349403
"Cell662"	"Cell662"	"Batch2"	"Group1"	81457.2796358643
"Cell663"	"Cell663"	"Batch2"	"Group2"	78370.5593813736
"Cell664"	"Cell664"	"Batch2"	"Group1"	50585.934609997
"Cell665"	"Cell665"	"Batch2"	"Group2"	52366.6467077892
"Cell666"	"Cell666"	"Batch2"	"Group1"	49926.2657189757
"Cell667"	"Cell667"	"Batch2"	"Group2"	58261.2142167138
"Cell668"	"Cell668"	"Batch2"	"Group2"	54165.1183486004
"Cell669"	"Cell669"	"Batch2"	"Group1"	61238.2754808749
"Cell670"	"Cell670"	"Batch2"	"Group2"	41149.065135124
"Cell671"	"Cell671"	"Batch2"	"Group2"	61803.1333051832
"Cell672"	"Cell672"	"Batch2"	"Group1"	60060.7923597183
"Cell673"	"Cell673"	"Batch2"	"Group2"	43472.3032652877
"Cell674"	"Cell674"	"Batch2"	"Group2"	63271.7751086009
"Cell675"	"Cell675"	"Batch2"	"Group2"	60535.8195787638
"Cell676"	"Cell676"	"Batch2"	"Group2"	57175.7610140096
"Cell677"	"Cell677"	"Batch2"	"Group2"	59716.0878844447
"Cell678"	"Cell678"	"Batch2"	"Group2"	64665.9352796225
"Cell679"	"Cell679"	"Batch2"	"Group2"	64173.4429832773
"Cell680"	"Cell680"	"Batch2"	"Group2"	54922.4488276838
"Cell681"	"Cell681"	"Batch2"	"Group2"	75360.2787281792
"Cell682"	"Cell682"	"Batch2"	"Group1"	59438.2692531078
"Cell683"	"Cell683"	"Batch2"	"Group1"	58269.8284251447
"Cell684"	"Cell684"	"Batch2"	"Group1"	72324.8900143401
"Cell685"	"Cell685"	"Batch2"	"Group2"	73014.1306783222
"Cell686"	"Cell686"	"Batch2"	"Group1"	52045.1062269018
"Cell687"	"Cell687"	"Batch2"	"Group2"	49108.5417787656
"Cell688"	"Cell688"	"Batch2"	"Group2"	51993.6247698783
"Cell689"	"Cell689"	"Batch2"	"Group1"	47327.4063129539
"Cell690"	"Cell690"	"Batch2"	"Group2"	41930.1580548932
"Cell691"	"Cell691"	"Batch2"	"Group2"	63711.5729719903
"Cell692"	"Cell692"	"Batch2"	"Group2"	58161.4432933618
"Cell693"	"Cell693"	"Batch2"	"Group1"	68084.8466169106
"Cell694"	"Cell694"	"Batch2"	"Group1"	59854.274433365
"Cell695"	"Cell695"	"Batch2"	"Group2"	64979.8559520004
"Cell696"	"Cell696"	"Batch2"	"Group1"	54219.091686262
"Cell697"	"Cell697"	"Batch2"	"Group2"	49413.473466219
"Cell698"	"Cell698"	"Batch2"	"Group1"	69956.3283004311
"Cell699"	"Cell699"	"Batch2"	"Group1"	69718.7188113678
"Cell700"	"Cell700"	"Batch2"	"Group2"	42330.2637043773
"Cell701"	"Cell701"	"Batch2"	"Group1"	71357.5854404847
"Cell702"	"Cell702"	"Batch2"	"Group2"	41995.8344343901
"Cell703"	"Cell703"	"Batch2"	"Group2"	59329.5357970778
"Cell704"	"Cell704"	"Batch2"	"Group1"	55327.5109424862
"Cell705"	"Cell705"	"Batch2"	"Group1"	58360.1601446745
"Cell706"	"Cell706"	"Batch2"	"Group1"	74551.656980464
"Cell707"	"Cell707"	"Batch2"	"Group2"	46581.3920379075
"Cell708"	"Cell708"	"Batch2"	"Group2"	56777.9463639912
"Cell709"	"Cell709"	"Batch2"	"Group2"	99773.7596140013
"Cell710"	"Cell710"	"Batch2"	"Group2"	44548.7216966723
"Cell711"	"Cell711"	"Batch2"	"Group1"	52821.9702492997
"Cell712"	"Cell712"	"Batch2"	"Group1"	59384.5633629042
"Cell713"	"Cell713"	"Batch2"	"Group2"	62317.0687493888
"Cell714"	"Cell714"	"Batch2"	"Group1"	53816.6877830507
"Cell715"	"Cell715"	"Batch2"	"Group1"	56771.7167676992
"Cell716"	"Cell716"	"Batch2"	"Group1"	74371.6100629576
"Cell717"	"Cell717"	"Batch2"	"Group2"	57748.3989433467
"Cell718"	"Cell718"	"Batch2"	"Group2"	62963.537241545
"Cell719"	"Cell719"	"Batch2"	"Group2"	64466.9808584811
"Cell720"	"Cell720"	"Batch2"	"Group2"	64952.1972813261
"Cell721"	"Cell721"	"Batch2"	"Group2"	66072.0441598044
"Cell722"	"Cell722"	"Batch2"	"Group2"	60531.9446739919
"Cell723"	"Cell723"	"Batch2"	"Group2"	51961.8557316985
"Cell724"	"Cell724"	"Batch2"	"Group2"	59180.409737527
"Cell725"	"Cell725"	"Batch2"	"Group2"	49380.7344170827
"Cell726"	"Cell726"	"Batch2"	"Group1"	61003.020560892
"Cell727"	"Cell727"	"Batch2"	"Group2"	55849.7190087918
"Cell728"	"Cell728"	"Batch2"	"Group2"	58473.7440241985
"Cell729"	"Cell729"	"Batch2"	"Group2"	48058.8609566333
"Cell730"	"Cell730"	"Batch2"	"Group2"	56578.5217344143
"Cell731"	"Cell731"	"Batch2"	"Group2"	48148.8756241799
"Cell732"	"Cell732"	"Batch2"	"Group1"	55208.2065820749
"Cell733"	"Cell733"	"Batch2"	"Group1"	66528.2169655796
"Cell734"	"Cell734"	"Batch2"	"Group1"	62823.4692211379
"Cell735"	"Cell735"	"Batch2"	"Group2"	71658.8893209534
"Cell736"	"Cell736"	"Batch2"	"Group2"	66012.1190014999
"Cell737"	"Cell737"	"Batch2"	"Group2"	61230.3507611932
"Cell738"	"Cell738"	"Batch2"	"Group2"	73105.7768599447
"Cell739"	"Cell739"	"Batch2"	"Group2"	75988.9612304
"Cell740"	"Cell740"	"Batch2"	"Group1"	45257.4459320357
"Cell741"	"Cell741"	"Batch2"	"Group1"	71569.8766561329
"Cell742"	"Cell742"	"Batch2"	"Group2"	69953.9042964748
"Cell743"	"Cell743"	"Batch2"	"Group2"	72285.79409317
"Cell744"	"Cell744"	"Batch2"	"Group1"	49923.1178258239
"Cell745"	"Cell745"	"Batch2"	"Group1"	96934.0538339024
"Cell746"	"Cell746"	"Batch2"	"Group2"	35637.3657152113
"Cell747"	"Cell747"	"Batch2"	"Group2"	59956.3818401352
"Cell748"	"Cell748"	"Batch2"	"Group1"	61305.2850149139
"Cell749"	"Cell749"	"Batch2"	"Group1"	58108.1108542021
"Cell750"	"Cell750"	"Batch2"	"Group2"	69534.2459429014
"Cell751"	"Cell751"	"Batch2"	"Group2"	61378.0133583375
"Cell752"	"Cell752"	"Batch2"	"Group2"	51245.8055414399
"Cell753"	"Cell753"	"Batch2"	"Group2"	79380.3917223255
"Cell754"	"Cell754"	"Batch2"	"Group2"	56456.0443559928
"Cell755"	"Cell755"	"Batch2"	"Group2"	67652.2389410039
"Cell756"	"Cell756"	"Batch2"	"Group2"	52401.8923930049
"Cell757"	"Cell757"	"Batch2"	"Group2"	48437.2015411634
"Cell758"	"Cell758"	"Batch2"	"Group2"	53041.6249216152
"Cell759"	"Cell759"	"Batch2"	"Group1"	48466.674441483
"Cell760"	"Cell760"	"Batch2"	"Group1"	66610.7526391527
"Cell761"	"Cell761"	"Batch2"	"Group1"	43896.1316149658
"Cell762"	"Cell762"	"Batch2"	"Group1"	49232.1481578449
"Cell763"	"Cell763"	"Batch2"	"Group2"	60200.965599796
"Cell764"	"Cell764"	"Batch2"	"Group2"	42484.1156908509
"Cell765"	"Cell765"	"Batch2"	"Group2"	54123.4265764649
"Cell766"	"Cell766"	"Batch2"	"Group2"	56331.8550860344
"Cell767"	"Cell767"	"Batch2"	"Group1"	78371.5021351967
"Cell768"	"Cell768"	"Batch2"	"Group2"	56868.2610295569
"Cell769"	"Cell769"	"Batch2"	"Group2"	53924.6262261422
"Cell770"	"Cell770"	"Batch2"	"Group2"	52436.4081050914
"Cell771"	"Cell771"	"Batch2"	"Group2"	65476.3447761974
"Cell772"	"Cell772"	"Batch2"	"Group2"	56168.4114274849
"Cell773"	"Cell773"	"Batch2"	"Group2"	53704.0786438746
"Cell774"	"Cell774"	"Batch2"	"Group2"	56617.0418428757
"Cell775"	"Cell775"	"Batch2"	"Group1"	74090.7905936164
"Cell776"	"Cell776"	"Batch2"	"Group2"	81925.5141843868
"Cell777"	"Cell777"	"Batch2"	"Group1"	52647.6869597311
"Cell778"	"Cell778"	"Batch2"	"Group1"	60120.3911320861
"Cell779"	"Cell779"	"Batch2"	"Group1"	56115.2622189678
"Cell780"	"Cell780"	"Batch2"	"Group1"	86810.1825658948
"Cell781"	"Cell781"	"Batch2"	"Group2"	67383.3207065743
"Cell782"	"Cell782"	"Batch2"	"Group2"	41934.9403308236
"Cell783"	"Cell783"	"Batch2"	"Group2"	54895.0390532009
"Cell784"	"Cell784"	"Batch2"	"Group2"	37852.4148613545
"Cell785"	"Cell785"	"Batch2"	"Group2"	58771.1843862893
"Cell786"	"Cell786"	"Batch2"	"Group2"	68926.2857922872
"Cell787"	"Cell787"	"Batch2"	"Group2"	50066.2333968443
"Cell788"	"Cell788"	"Batch2"	"Group2"	46327.8532646059
"Cell789"	"Cell789"	"Batch2"	"Group2"	76968.9085963622
"Cell790"	"Cell790"	"Batch2"	"Group2"	49368.8039190771
"Cell791"	"Cell791"	"Batch2"	"Group1"	71794.042367655
"Cell792"	"Cell792"	"Batch2"	"Group2"	62493.3057966084
"Cell793"	"Cell793"	"Batch2"	"Group2"	71410.8162214388
"Cell794"	"Cell794"	"Batch2"	"Group2"	73167.6746781411
"Cell795"	"Cell795"	"Batch2"	"Group2"	75205.6846562182
"Cell796"	"Cell796"	"Batch2"	"Group2"	76665.5068026389
"Cell797"	"Cell797"	"Batch2"	"Group2"	63518.1075201418
"Cell798"	"Cell798"	"Batch2"	"Group2"	61966.6864761531
"Cell799"	"Cell799"	"Batch2"	"Group1"	49460.1287141545
